name,price,role,balls_faced,weighted_avg_sr_lastThird,weighted_avg_rbw_lastThird,weighted_avg_hh_lastThird,weighted_avg_dot_pct_lastThird,weighted_avg_bound_pct_lastThird,runs,30s,50s,ducks,6s,4s,3s,2s,1s
A Capsey,0.75,2,54.0,164.6313003986127,0.41428324774580844,1.332488071184277,42.06740045415955,25.379602233766477,87.0,3,0,1,10,17,0,2,27
A Gardner,3.2,2,79.0,155.6361463023817,0.5902021465553845,1.1127229260476335,32.559223225458595,24.866915533150912,103.0,1,2,2,5,26,0,5,58
AB Kaur,0.5,2,8.0,118.75,0.7857142857142857,0.5,31.25,12.5,5.0,0,0,1,0,2,0,2,12
AC Kerr,1.0,2,85.0,114.8148148148148,0.6521739130434783,0.5925925925925926,40.74074074074074,14.814814814814813,118.0,2,0,0,1,20,0,7,49
AJ Healy,0.7,3,137.0,127.1769818456389,0.24974153198795151,1.0587549823490185,57.555012733221766,25.708107286913428,205.0,1,2,0,3,41,1,6,56
D Hemalatha,0.3,2,57.0,216.44648241574643,0.6443915849424682,1.7663312530810082,23.956693412767986,37.84995542316447,78.0,0,1,0,8,15,0,3,37
DB Sharma,2.6,2,95.0,77.32095605134471,0.43533478189597685,0.3861426041342518,61.29330436208046,9.653565103356295,81.0,0,0,0,0,11,0,2,42
DP Vaidya,1.4,2,65.0,53.42621502966304,0.2956005603945039,0.2673009806903818,66.62135852211559,6.682524517259544,69.0,1,0,1,0,9,0,2,37
EA Perry,1.7,2,155.0,113.07609210989457,0.6166172834389523,0.6224529609167675,29.87287594769724,15.561324022919186,205.0,2,2,0,7,28,0,4,91
G Wareham,0.75,2,11.0,88.0,0.6086956521739131,0.32,36.0,8.0,8.0,0,0,0,0,4,0,0,14
GM Harris,0.75,2,98.0,175.609756097561,0.6666666666666666,1.2682926829268293,31.707317073170728,26.82926829268293,158.0,2,2,0,9,29,0,6,47
H Deol,0.4,2,149.0,142.24421277608897,0.310265359079491,1.2362829123131949,55.130986033593025,26.253092421637508,186.0,2,1,1,2,29,0,6,62
H Kaur,1.8,2,177.0,63.391330827363326,0.4377748199696551,0.22277457930822223,53.31676262075333,5.569364482705554,256.0,1,3,0,3,44,0,6,75
HC Knight,0.4,2,68.0,116.6714107805274,0.6123393355951647,0.6478649807092507,36.163074454667225,16.196624517731266,101.0,2,0,1,3,18,0,3,39
HK Matthews,0.4,2,188.0,97.16757085234632,0.4231464492638578,0.6191009742818667,58.656388401344074,13.955989813422594,242.0,3,1,1,10,33,0,6,65
KP Navgire,0.3,1,128.0,82.75594183892716,0.34488116322145684,0.48267825516781476,53.444927298658946,12.066956379195368,149.0,1,1,0,8,15,0,5,37
KS Ahuja,0.35,2,31.0,116.56544925774925,0.5530949354479126,0.6888856311932026,40.39808208360184,16.559639014387336,40.0,1,0,1,2,14,0,4,22
L Wolvaardt,0.1,1,89.0,130.76923076923077,0.1,1.2307692307692308,61.53846153846154,23.07692307692308,126.0,0,2,0,5,16,0,3,43
M Joshi,0.3,2,21.0,77.7777777777778,0.375,0.4444444444444444,55.555555555555564,11.111111111111109,11.0,0,0,0,0,2,0,1,8
M Kapp,1.5,2,86.0,115.66715941140181,0.5119875492633899,0.7299503857001293,44.0560539640633,16.589781493184756,107.0,4,0,0,6,18,0,4,61
MM Lanning,1.1,1,203.0,157.92752032994596,0.6186659849901286,1.112461248876562,42.23817839581391,24.465310209910506,274.0,4,2,0,6,49,0,11,87
NR Sciver-Brunt,3.2,2,229.0,96.07403832597726,0.31039304689931113,0.739031064045979,70.43875743816085,14.780621280919577,319.0,2,3,1,6,47,0,11,86
P Vastrakar,1.9,2,31.0,105.55555555555556,0.6875,0.4444444444444444,27.777777777777782,11.111111111111109,52.0,0,0,0,2,9,0,2,19
RM Ghosh,1.9,3,57.0,172.91152497248547,0.5611159011894509,1.3359000825772809,32.53668386233132,28.141799422911294,78.0,2,0,0,7,14,0,2,36
S Ecclestone,1.8,2,43.0,70.54528344760368,0.48267825516781476,0.29703277241096293,81.31117137996482,7.425819310274074,51.0,0,0,2,2,6,0,5,24
S Mandhana,3.4,1,78.0,106.46764995129294,0.4162342061044737,0.715373414386169,54.79509118443998,16.05783232017289,88.0,2,0,1,3,21,0,4,35
S Meghana,0.3,1,32.0,95.6862336550481,0.42793280377198173,0.5887612204230739,52.78462422163431,14.71903051057685,34.0,1,0,1,0,14,0,2,21
S Rana,0.75,2,15.0,105.26315789473685,0.5,0.631578947368421,47.368421052631575,15.789473684210524,14.0,0,0,0,0,4,0,2,14
S Sehrawat,0.4,1,28.0,158.33333333333331,0.375,1.3333333333333333,41.66666666666667,33.33333333333333,15.0,0,0,0,0,6,0,0,10
S Verma,0.6,3,44.0,88.8888888888889,0.5,0.4444444444444444,44.444444444444436,11.111111111111109,34.0,0,0,0,0,4,0,1,24
SFM Devine,0.5,2,116.0,123.25513236847002,0.35384248526833495,1.0458011231264122,87.74993314723739,21.16502272993929,167.0,1,2,1,13,32,0,5,50
Shafali Verma,2.0,1,105.0,174.08769514614357,0.39655507270134105,1.4826782551678148,35.48884060346744,35.45802886196932,198.0,1,2,1,13,32,0,5,36
Simran Shaikh,0.1,1,23.0,48.87538751123438,0.4059415009396027,0.08996899910124959,57.87228742135934,2.2492249775312403,17.0,0,0,2,0,2,0,1,19
