name,price,role,balls_faced,weighted_avg_sr,weighted_avg_rbw,weighted_avg_hard_hitter,weighted_avg_dot_percent,weighted_avg_bound_percent,runs,30s,50s,ducks,6s,4s,3s,2s,1s
A Gardner,3.2,2,110,126.0719533,0.429820514,0.935274647,51.18326709,16.2722443,183,0,3,0,15,16,0,4,51
A Sutherland,2,2,55,133.3333333,0.833333333,0.666666667,41.66666667,16.66666667,64,1,0,0,1,6,0,6,37
AB Kaur,0.1,2,29,145.5118837,0.875288764,0.717166371,26.66666667,16.32023177,26,1,0,0,2,6,1,1,29
AC Kerr,1,2,47,73.37441566,0.347735751,0.421452367,63.59760359,10.53630917,43,0,0,0,1,6,0,3,20
BL Mooney,2,3,87,107.651699,0.509544555,0.652669754,50.15166974,16.31674385,123,0,2,1,0,29,0,7,50
BS Fulmali,0.1,1,12,150,0.75,0.9,25,20,12,1,0,0,2,4,0,1,12
CA Henry,0.1,1,51,207.33566,0.145800535,1.966436208,94.75779732,37.52595423,119,1,1,0,15,7,0,2,18
D Vrinda,0.1,1,70,60.92330927,0.450381716,0.183933173,52.8716787,4.598329322,73,1,0,0,0,12,1,1,31
DB Sharma,2.6,2,80,103.7231843,0.919061211,0.148927372,9.307960772,3.723184309,93,1,0,0,1,15,0,3,49
DJS Dottin,1.7,2,50,157.7317081,0.629880032,1.097055333,47.49182037,22.94437851,74,1,0,0,4,14,0,3,22
DN Wyatt,0.3,1,87,108.9100327,0.249480915,0.881199564,61.63495097,20.54498366,112,1,1,0,4,16,0,5,39
EA Perry,1.7,2,144,154.8171857,0.595806118,1.094667809,33.98495843,26.64064323,218,0,4,1,9,29,1,19,78
G Kamalini,1.6,3,10,150,0.666666667,1,25,25,10,0,0,0,0,2,0,2,4
G Voll,0.1,1,20,176.7857143,0.657894737,1.321428571,25,32.14285714,44,0,1,1,0,12,0,1,5
GM Harris,0.75,1,68,146.894928,0.412547386,1.161289619,42.34759394,26.88643994,57,1,0,0,3,15,0,3,40
H Deol,0.4,2,42,120.4731453,0.503404979,0.795118867,40.52245372,19.60563486,28,3,0,0,0,17,0,6,50
H Kaur,1.8,1,58,212.0914816,0.705449837,1.632448803,24.42330064,31.90118739,70,1,1,0,5,15,0,5,22
HK Matthews,0.4,2,64,133.0934124,0.325961252,1.08716299,52.31443252,24.68464767,58,0,2,1,4,24,1,3,47
JI Rodrigues,2.2,1,65,88.10242613,0.642884098,0.304819409,34.75902955,7.620485227,93,1,1,1,3,14,0,4,30
JL Jonassen,0.5,1,68,90,0.555555556,0.4,40,10,119,0,2,0,3,19,0,4,26
KP Navgire,0.3,1,55,153.6980639,0.475201743,1.269679658,56.56359064,23.38883581,62,0,1,2,4,16,0,4,12
M Kapp,1.5,2,38,77.77777778,0.375,0.444444444,66.66666667,11.11111111,52,0,0,0,0,6,0,7,21
MM Lanning,1.1,1,97,103.8704607,0.448322676,0.697630352,50.03733924,16.91225097,77,0,2,0,0,28,0,6,47
NR Sciver-Brunt,3.2,2,101,171.0875279,0.77480981,1.15216481,25.46477424,26.96786475,125,2,3,0,0,55,0,3,83
NS Prasad,0.1,2,33,180,0.571428571,1.4,30,30,35,1,0,0,1,6,0,2,19
Raghvi Bist,0.1,1,69,116.6666667,0.6,0.666666667,50,16.66666667,67,1,0,0,3,4,0,4,39
RM Ghosh,1.9,3,21,184.0091128,0.650465936,1.385545673,24.55636072,29.98909383,20,0,1,0,7,14,0,3,21
S Ecclestone,1.8,4,45,137.1925151,0.566825245,0.93538852,37.19251514,23.38471301,56,1,0,0,5,7,0,1,25
S Mandhana,3.4,1,62,123.8616008,0.216778382,1.074567503,57.47663691,24.62716249,83,0,1,0,4,19,0,4,32
Simran Shaikh,1.9,1,12,212.5,0.6,1.75,25,37.5,2,0,0,0,1,2,0,0,5
SJ Bryce,0.1,3,29,100,0.25,0.8,60,20,44,0,0,0,1,5,0,3,17
TP Kanwar,0.5,4,24,133.3333333,0.8,0.666666667,33.33333333,16.66666667,13,0,0,0,0,3,0,0,17
U Chetry,0.1,3,63,42.51652382,0.356285943,0.081490997,63.59530092,2.037274915,54,0,0,0,0,8,0,1,38
YH Bhatia,1.5,3,29,170.7840453,0.555801484,1.400894687,45.63665362,31.23783468,16,0,0,1,1,8,0,0,10
